molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL444592,Fc1ccc(C(NCCC2CCN(Cc3ccccc3)CC2)c2ccc(F)cc2)cc1,58.0,intermediate
CHEMBL432727,CN1C2CCC1C(C(=O)NCCCCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,1401.0,active
CHEMBL125140,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccccc1)c1ccc(C)cc1)N2C,49.5,active
CHEMBL407803,CN1C2CCC1C(C(=O)NCCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,1667.0,active
CHEMBL1201203,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,312.0,intermediate
CHEMBL317757,CN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,44.6,active
CHEMBL307314,CN1C2CCC1C(C(=O)NCCCCCCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,871.0,active
CHEMBL339481,CCC(O[C@H]1CC2CCC(C1C(=O)OC)N2C)c1ccccc1,1480.0,active
CHEMBL126100,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2,20.3,active
CHEMBL340521,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccccc1)c1ccc(Br)cc1)N2C,24.0,active
CHEMBL125871,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2CCCc1ccc(I)cc1,119.0,active
CHEMBL332506,COC(=O)C1C2CCC(C[C@@H]1OC1c3ccccc3-c3ccccc31)N2C,6030.0,active
CHEMBL303266,CN1C2CCC1C(C(=O)NCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,52.2,active
CHEMBL125954,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2CCCc1ccccc1,22.0,active
CHEMBL124278,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(Br)cc1)c1ccc(Br)cc1)N2C,72.0,active
CHEMBL338313,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccccc1)c1ccc(Cl)cc1)N2C,15.8,active
CHEMBL339401,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(Br)cc1)c1ccc(I)cc1)N2C,389.0,active
CHEMBL2373379,COC(=O)C1C2CC[C@@H](C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,10.9,active
CHEMBL125017,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccccc1)c1ccccc1)N2C,33.5,active
CHEMBL124670,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2CCCc1ccc(Br)cc1,80.2,active
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,267.0,active
CHEMBL306208,COC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2C,1.7,active
CHEMBL339352,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2CCCCCc1ccccc1,99.0,active
